theme,poleLeft,poleRight
Temperatura di una città,Fredda,Calda
Piccantezza di un piatto,Delicato,Piccantissimo
Popolarità di un film,Sconosciuto,Blockbuster
Velocità di un animale,Lentissimo,Velocissimo
Età di una persona famosa,Giovane,Anziana
Rumorosità di un concerto,Silenzioso,Assordante
Dolcezza di un dessert,Amaro,Stucchevole
Altezza di un edificio,Basso,Altissimo
Prezzo di un regalo,Economico,Costosissimo
Difficoltà di un videogioco,Facile,Impossibile
Luminosità di un colore,Scuro,Sgargiante
Grandezza di un animale,Minuscolo,Enorme
Freschezza di un alimento,Scaduto,Appena colto
Comfort di una sedia,Scomodissima,Comodissima
Bellezza di un paesaggio,Anonimo,Mozzafiato
Pulizia di una stanza,Un disastro,Immacolata
Puzza di un formaggio,Delicato,Nauseante
Lunghezza di un film,Cortometraggio,Interminabile
Follia di un'idea,Ragionevole,Pazzesca
Utilità di un regalo,Inutile,Indispensabile
Rischio di uno sport,Sicuro,Estremo
Formalità di un evento,Casual,Etichetta rigida
Peso di un animale,Piuma,Tonnellate
Segretezza di un'informazione,Pubblica,Top secret
Imbarazzo di un ricordo,Innocuo,Da nascondere per sempre
Fama di un piatto italiano,Sconosciuto all'estero,Iconico nel mondo
Complessità di una ricetta,Bastano 5 minuti,Corso da chef
Romanticismo di un appuntamento,Impegno tra amici,Da film romantico
Prevedibilità di un finale,Ovvio dal primo minuto,Colpo di scena totale
Energia di un cane,Dorme tutto il giorno,Non si ferma mai
Fortuna di un giorno,Nefasto,Baciato dalla dea bendata
Tecnologia di un dispositivo,Preistorico,Fantascienza
Ingombro di una valigia,Ci sta in tasca,Serve un furgone
Silenziosità di un vicino,Fa più rumore lui che un cantiere,Non lo senti mai
Nostalgia di una canzone,Uscita ieri,Ti riporta all'infanzia
Comodità di un volo,Economy stretta,Prima classe
Autenticità di un souvenir,Fabbricato in serie,Fatto a mano dal posto
Impegno di un allenamento,Passeggiata,Massacrante
Originalità di un nome,Comunissimo,Mai sentito prima
Drammaticità di una serie TV,Leggera da guardare a cena,Ti serve terapia dopo
