word,clue
Spiaggia,Sabbia
Pizza,Napoli
Batman,Pipistrello
Chitarra,Corde
Roma,Colosseo
Dentista,Carie
Netflix,Divano
Pallone,Rete
Matrimonio,Anello
Zaino,Scuola
Vulcano,Lava
Aeroporto,Valigia
Sushi,Oriente
Bicicletta,Pedali
Halloween,Zucca
Gelato,Estate
Panettone,Natale
Lasagna,Domenica
Cioccolato,Cacao
Popcorn,Cinema
Barbecue,Giardino
Hamburger,America
Croissant,Parigi
Paella,Spagna
Taco,Messico
Champagne,Brindisi
Miele,Api
Formaggio,Mucca
Vino,Uva
Caffè,Espresso
Tè,Cerimonia
Biscotto,Latte
Torta,Compleanno
Uovo,Gallina
Pane,Forno
Pasta,Sugo
Insalata,Verdura
Zucchero,Dolcezza
Sale,Mare
Pepe,Piccante
Cannella,Speziato
Limone,Acido
Fragola,Rosso
Ananas,Tropicale
Cocco,Palma
Birra,Schiuma
Succo,Frutta
Frullato,Banana
Cioccolata calda,Inverno
Cocktail,Ombrellino
Elefante,Proboscide
Delfino,Intelligenza
Pinguino,Antartide
Leone,Savana
Squalo,Pinna
Gufo,Notte
Ragno,Tela
Formica,Colonia
Farfalla,Metamorfosi
Coccodrillo,Palude
Canguro,Australia
Panda,Bambù
Scoiattolo,Ghianda
Pipistrello,Grotta
Riccio,Aculei
Tartaruga,Lentezza
Serpente,Veleno
Camaleonte,Mimetismo
Struzzo,Testa
Foca,Iceberg
Balena,Oceano
Gambero,Rosso
Polpo,Tentacoli
Lucertola,Coda
Zebra,Righe
Giraffa,Collo
Rinoceronte,Corno
Ippopotamo,Fiume
Koala,Eucalipto
Lupo,Branco
Volpe,Astuzia
Cervo,Corna
Orso,Miele
Venezia,Canali
Milano,Moda
Firenze,Rinascimento
Torino,Fiat
Napoli,Golfo
Londra,Pioggia
Parigi,Baguette
Berlino,Muro
Mosca,Cremlino
New York,Skyline
Tokyo,Neon
Dubai,Grattacielo
Amsterdam,Biciclette
Barcellona,Gaudì
Atene,Acropoli
Il Cairo,Piramidi
Rio de Janeiro,Carnevale
Sydney,Opera
Istanbul,Bosforo
Praga,Ponte
Vienna,Valzer
Marrakech,Souk
Bangkok,Tempio
Casablanca,Marocco
Havana,Sigari
Avvocato,Tribunale
Infermiere,Ospedale
Cuoco,Grembiule
Pompiere,Incendio
Poliziotto,Divisa
Insegnante,Lavagna
Idraulico,Tubo
Elettricista,Cavi
Parrucchiere,Forbici
Fotografo,Obiettivo
Giornalista,Notizia
Architetto,Progetto
Pilota,Cabina
Marinaio,Bussola
Contadino,Trattore
Panettiere,Farina
Macellaio,Coltello
Farmacista,Ricetta
Veterinario,Zampa
Astronauta,Tuta
Calcio,Portiere
Tennis,Racchetta
Nuoto,Piscina
Basket,Canestro
Golf,Buca
Boxe,Guantoni
Sci,Neve
Rugby,Meta
Scherma,Fioretto
Atletica,Pista
Ciclismo,Casco
Pallavolo,Palestra
Judo,Tatami
Karate,Cintura
Scacchi,Torre
Pesca,Canna
Bowling,Birilli
Freccette,Bersaglio
Surf,Onda
Maratona,Resistenza
Specchio,Riflesso
Sveglia,Mattina
Poltrona,Relax
Ombrello,Pioggia
Candela,Cera
Chiave,Serratura
Forbici,Taglio
Ago,Filo
Bottone,Camicia
Tappeto,Pavimento
Lampadina,Luce
Termometro,Febbre
Bilancia,Peso
Aspirapolvere,Polvere
Ferro da stiro,Grinze
Frigorifero,Freddo
Forno,Calore
Lavatrice,Bucato
Scopa,Pulizia
Secchio,Acqua
Materasso,Sonno
Cuscino,Testa
Coperta,Inverno
Sedia,Seduta
Tavolo,Cena
Armadio,Vestiti
Scaffale,Libri
Smartphone,Schermo
Computer,Tastiera
Robot,Metallo
Drone,Volo
Stampante,Inchiostro
Cuffie,Musica
Microfono,Voce
Router,Wifi
Batteria,Energia
Caricabatterie,Cavo
Tablet,Touch
Fotocamera,Scatto
Videocamera,Ripresa
Altoparlante,Suono
Telecomando,Canale
Console,Videogioco
Joystick,Pollici
Visore,Realtà
Satellite,Orbita
Antenna,Segnale
Arcobaleno,Pioggia
Terremoto,Scossa
Uragano,Vento
Valanga,Montagna
Nebbia,Visibilità
Neve,Fiocco
Fulmine,Tuono
Eclissi,Sole
Marea,Luna
Deserto,Oasi
Foresta,Alberi
Ghiacciaio,Polo
Cascata,Roccia
Stalattite,Grotta
Alba,Orizzonte
Tramonto,Arancione
Stella cadente,Desiderio
Via Lattea,Galassia
Aurora boreale,Islanda
Natale,Regali
Pasqua,Uova
Capodanno,Fuochi
San Valentino,Cuore
Ferragosto,Mare
Carnevale,Maschera
Compleanno,Candeline
Laurea,Tocco
Battesimo,Chiesa
Funerale,Lutto
Diploma,Pergamena
Pensionamento,Orologio
Trasloco,Scatole
Concerto,Palco
Festival,Musica
Treno,Binario
Aereo,Nuvole
Nave,Onde
Metro,Sottoterra
Taxi,Tassametro
Autobus,Fermata
Elicottero,Pale
Mongolfiera,Cielo
Sottomarino,Profondità
Monopattino,Marciapiede
Slitta,Renne
Risciò,Asia
Tram,Rotaie
Funivia,Montagna
Canoa,Remi
Cappello,Testa
Cravatta,Colletto
Scarpe,Piedi
Guanti,Mani
Sciarpa,Collo
Occhiali,Vista
Orologio,Polso
Anello,Dito
Collana,Gioiello
Borsa,Spalla
Cintura,Vita
Costume da bagno,Piscina
Pigiama,Notte
Uniforme,Divisa
Grembiule,Cucina
Stivali,Fango
Cuore,Battito
Cervello,Pensiero
Occhio,Sguardo
Mano,Dita
Piede,Passo
Naso,Odore
Orecchio,Suono
Capelli,Pettine
Unghia,Smalto
Sorriso,Denti
Pianoforte,Tasti
Violino,Archetto
Tromba,Ottone
Flauto,Fiato
Arpa,Angelo
Sassofono,Jazz
Tamburo,Ritmo
Fisarmonica,Mantice
Ukulele,Hawaii
Domino,Tessere
Puzzle,Pezzi
Aquilone,Vento
Trottola,Giravolta
Yo-yo,Filo
Bambola,Vestitini
Peluche,Morbido
Lego,Mattoncini
Carte,Mazzo
Scacchiera,Quadretti
Biglie,Vetro
Altalena,Parco
Matita,Gomma
Quaderno,Righe
Lavagna,Gesso
Righello,Centimetri
Colla,Appiccicoso
Temperamatite,Trucioli
Graffetta,Fogli
Evidenziatore,Colore
Agenda,Impegni
Calcolatrice,Numeri
Timbro,Inchiostro
Scrivania,Lavoro
Luna,Fasi
Sole,Raggi
Marte,Rosso
Saturno,Anelli
Cometa,Coda
Buco nero,Gravità
Razzo,Lancio
Stazione spaziale,Orbita
Costellazione,Stelle
Meteorite,Cratere
Attore,Copione
Cantante,Microfono
Regista,Ciak
Ballerino,Palcoscenico
Pittore,Pennello
Scultore,Scalpello
Clown,Circo
Mago,Cilindro
Acrobata,Equilibrio
Ventriloquo,Pupazzo
Matematica,Numeri
Storia,Passato
Geografia,Mappa
Scienze,Laboratorio
Arte,Pennello
Educazione fisica,Palestra
Musica,Note
Inglese,Lingua
